nohup: ignoring input
=== Linux 监控采集器已启动 ===
[系统] 数据库初始化完成: monitor.db
开始循环采集 (按 Ctrl+C 停止)...

[06:55:53] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:55:59] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:56:05] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:56:11] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:56:17] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:56:23] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:56:29] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:56:35] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:56:41] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:56:47] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:56:53] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:56:59] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:57:05] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:57:11] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:57:17] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:57:23] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:57:29] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:57:35] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:57:41] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:57:47] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:57:53] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:57:59] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:58:05] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:58:11] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:58:17] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:58:23] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:58:29] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:58:35] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:58:41] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:58:47] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:58:53] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:58:59] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:59:05] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:59:11] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:59:17] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:59:23] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:59:29] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:59:35] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:59:41] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:59:47] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:59:53] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:59:59] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[07:00:05] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[07:00:11] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[07:00:17] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
